64
# x y z
0.090 0.430 0.000
10 13 22 25 -5807.167505 2.299567
10 13 24 27 -3235.424105 2.148988
10 13 25 28 2999.026675 2.222781
10 13 26 29 3655.326070 1.333858
10 13 27 30 3176.693830 1.655522
10 13 28 31 1379.774020 0.545734
10 13 29 32 241.803667 1.290210
10 13 30 33 -3458.920920 1.019742
10 13 31 34 -2935.688105 1.438695
10 13 32 35 -2312.540040 1.253680
10 13 33 36 1414.956035 1.433070
10 13 34 37 1843.774305 0.580891
10 13 35 38 1759.386540 1.404538
10 13 36 39 1338.734155 0.967975
10 13 37 40 625.311290 0.409131
10 13 38 41 -2087.914425 1.093954
10 13 39 42 -2052.941920 0.906008
10 13 40 43 -1737.847795 1.073912
10 13 41 44 913.428974 1.917906
10 13 42 45 1103.629900 1.928297
10 13 43 46 1095.097180 2.120099
10 13 44 47 999.614044 2.218041
10 13 45 48 730.189037 2.383163
10 13 46 49 -1383.836375 0.488151
10 13 47 50 -1473.717795 0.409752
10 13 48 51 -1340.295815 0.762810
10 13 49 52 683.672171 2.419005
10 13 50 53 778.988574 2.212211
10 13 51 54 803.298831 1.843889
10 13 52 55 773.273429 2.406082
10 13 53 56 651.497881 2.365332
10 13 54 57 -1098.583365 2.409910
10 13 55 58 -1167.505255 0.311196
10 13 56 59 -1107.411440 0.335050
10 13 57 60 584.741232 2.537270
10 13 58 61 649.578550 2.745615
10 13 59 62 673.709827 2.648944
11 14 12 15 6987.858040 2.976523
11 14 13 16 1049.292190 1.329067
11 14 15 18 -8404.536975 2.294790
11 14 16 19 -7781.372110 0.002297
11 14 17 20 1678.578730 0.421353
11 14 18 21 5758.968525 0.624003
11 14 19 22 8181.636555 0.188440
11 14 20 23 5010.442270 0.206930
11 14 22 25 -6012.922130 2.930585
11 14 24 27 -4748.666025 2.414931
11 14 25 28 1547.916855 2.218376
11 14 26 29 3063.816835 0.854459
11 14 27 30 4079.249650 2.004340
11 14 28 31 2948.676395 2.310567
11 14 29 32 1458.281480 0.355182
11 14 30 33 -3436.552775 1.797621
11 14 31 34 -3418.218595 2.059655
11 14 32 35 -3083.896535 1.782223
11 14 33 36 980.866755 0.901407
11 14 34 37 1720.799030 1.317567
11 14 35 38 2117.038775 1.870901
11 14 36 39 1947.834515 1.580459
11 14 37 40 1171.771710 0.673406
11 14 38 41 -2116.107360 1.745565
11 14 39 42 -2338.662295 1.497883
11 14 40 43 -2160.958865 1.623160
11 14 41 44 787.274017 1.234484
11 14 42 45 1105.143250 1.322305
11 14 43 46 1271.766865 1.599025
11 14 44 47 1290.487375 1.475925
11 14 45 48 1008.124921 1.666232
11 14 46 49 -1453.825030 1.245463
11 14 47 50 -1669.715980 1.168387
11 14 48 51 -1606.324225 1.483506
11 14 49 52 656.388606 1.532193
11 14 50 53 811.522854 1.381866
11 14 51 54 911.613456 1.050782
11 14 52 55 940.975050 1.674010
11 14 53 56 827.773838 1.644237
11 14 54 57 -1172.703985 1.604314
11 14 55 58 -1314.905765 1.099389
11 14 56 59 -1301.758020 1.093656
11 14 57 60 590.087757 1.679458
11 14 58 61 691.409510 1.917937
11 14 59 62 760.381971 1.892433
11 14 62 1 -4810.515445 2.408301
11 14 63 2 -6590.791590 2.280390
12 15 13 16 6819.955175 2.482136
12 15 14 17 -4094.289485 2.947103
12 15 17 20 -2110.698780 1.516224
12 15 18 21 1178.313400 0.767246
12 15 20 23 7084.416485 0.355687
12 15 24 27 -4449.927170 2.478691
