64
# x y z
+.09000 +.43000 +.00000
+.14000 +.43000 +.00000
+.19000 +.43000 +.00000
+.24000 +.43000 +.00000
+.29000 +.43000 +.00000
+.34000 +.43000 +.00000
10 13 63 2 -6945.192835
11 14 12 15 6987.858040
11 14 13 16 1049.292190
11 14 15 18 -8404.536975
11 14 16 19 -7781.372110
11 14 17 20 1678.578730
11 14 18 21 5758.968525
11 14 19 22 8181.636555
11 14 20 23 5010.442270
11 14 21 24 1199.927585
11 14 22 25 -6012.922130
11 14 23 26 -5544.838970
11 14 24 27 -4748.666025
11 14 25 28 1547.916855
11 14 26 29 3063.816835
11 14 27 30 4079.249650
11 14 28 31 2948.676395
11 14 29 32 1458.281480
11 14 30 33 -3436.552775
11 14 31 34 -3418.218595
11 14 32 35 -3083.896535
11 14 33 36 980.866755
11 14 34 37 1720.799030
11 14 35 38 2117.038775
11 14 36 39 1947.834515
11 14 37 40 1171.771710
11 14 38 41 -2116.107360
11 14 39 42 -2338.662295
11 14 40 43 -2160.958865
11 14 41 44 787.274017
11 14 42 45 1105.143250
11 14 43 46 1271.766865
11 14 44 47 1290.487375
11 14 45 48 1008.124921
11 14 46 49 -1453.825030
11 14 47 50 -1669.715980
11 14 48 51 -1606.324225
11 14 49 52 656.388606
11 14 50 53 811.522854
11 14 51 54 911.613456
11 14 52 55 940.975050
11 14 53 56 827.773838
11 14 54 57 -1172.703985
11 14 55 58 -1314.905765
11 14 56 59 -1301.758020
11 14 57 60 590.087757
11 14 58 61 691.409510
11 14 59 62 760.381971
11 14 60 63 742.493060
11 14 62 1 -4810.515445
11 14 63 2 -6590.791590
11 14 64 3 -7392.435750
12 15 13 16 6819.955175
12 15 14 17 -4094.289485
12 15 16 19 -7101.658815
12 15 18 21 1178.313400
12 15 19 22 5054.003960
12 15 20 23 7084.416485
12 15 21 24 4190.326885
12 15 22 25 -3045.299585
12 15 23 26 -4386.766970
12 15 24 27 -4449.927170
12 15 26 29 1236.973690
12 15 27 30 2806.876210
12 15 28 31 3209.226080
12 15 29 32 2387.885155
12 15 30 33 -1995.856550
12 15 31 34 -2637.060845
12 15 32 35 -2798.406245
12 15 33 36 393.175946
12 15 34 37 977.477555
12 15 35 38 1584.470865
12 15 36 39 1807.218800
12 15 37 40 1404.183465
12 15 38 41 -1415.893510
12 15 39 42 -1839.720890
12 15 40 43 -1886.052950
12 15 41 44 473.450143
12 15 42 45 756.710063
12 15 43 46 1000.838254
12 15 44 47 1137.380395
12 15 45 48 975.969581
12 15 46 49 -1069.040630
12 15 47 50 -1335.671085
12 15 48 51 -1367.835070
12 15 49 52 450.883352
12 15 50 53 596.937504
12 15 51 54 725.267710
12 15 52 55 804.824815
12 15 53 56 746.995399
12 15 54 57 -893.076687
12 15 55 58 -1056.738880
12 15 56 59 -1093.771110
12 15 57 60 428.957225
12 15 58 61 526.226214
12 15 59 62 610.677123
12 15 60 63 634.423877
12 15 61 64 595.042065
12 15 62 1 -3108.565105
12 15 63 2 -4337.259695
12 15 64 3 -6437.454445
13 16 15 18 -3250.125620
13 16 17 20 -1904.673655
13 16 19 22 1400.155110
13 16 20 23 4554.740755
13 16 21 24 5389.682780
13 16 23 26 -2327.068040
13 16 24 27 -3399.850645
13 16 27 30 1175.988585
13 16 28 31 2286.279225
13 16 29 32 2462.888040
13 16 31 34 -1538.230475
13 16 32 35 -2090.877430
13 16 33 36 95.878308
13 16 34 37 384.176196
13 16 35 38 882.970581
13 16 36 39 1284.017105
13 16 37 40 1285.970215
13 16 38 41 -716.768206
13 16 39 42 -1179.206035
13 16 40 43 -1378.369485
13 16 41 44 245.233077
13 16 42 45 429.687959
13 16 43 46 641.057810
13 16 44 47 817.530302
13 16 45 48 782.732352
13 16 46 49 -656.653407
13 16 47 50 -899.528034
13 16 48 51 -987.175954
13 16 49 52 268.568442
13 16 50 53 373.727178
13 16 51 54 484.809776
13 16 52 55 575.508415
13 16 53 56 567.537711
13 16 54 57 -578.736517
13 16 55 58 -721.326628
13 16 56 59 -781.392580
13 16 57 60 269.107493
13 16 58 61 342.352558
13 16 59 62 416.194423
13 16 60 63 452.721642
13 16 61 64 441.226687
13 16 62 1 -1797.868185
13 16 63 2 -2490.177460
13 16 64 3 -3727.845755
14 17 16 19 5978.331690
14 17 18 21 -7237.268625
14 17 19 22 -6607.165220
14 17 20 23 -3345.735095
14 17 21 24 -352.391403
14 17 23 26 6813.778260
14 17 24 27 4804.672245
14 17 25 28 -4092.194995
14 17 26 29 -4513.989750
14 17 27 30 -4209.936660
14 17 28 31 -2633.343265
14 17 29 32 -1189.015740
14 17 30 33 4947.439450
14 17 31 34 4404.496415
14 17 32 35 3610.428630
14 17 33 36 -2028.021810
14 17 34 37 -2543.248095
14 17 35 38 -2536.223545
14 17 36 39 -2146.210560
14 17 37 40 -1223.705815
14 17 38 41 3043.688195
14 17 39 42 3112.968995
14 17 40 43 2708.288105
14 17 41 44 -1338.455250
14 17 42 45 -1610.597450
